ID Geography,Geography,Diabetes Monitoring (2014),Diabetes Monitoring (2015),Diabetes Monitoring (2016),Diabetes Monitoring (2017),Diabetes Monitoring (2018),Diabetes Monitoring CI High (2014),Diabetes Monitoring CI High (2015),Diabetes Monitoring CI High (2016),Diabetes Monitoring CI High (2017),Diabetes Monitoring CI High (2018),Diabetes Monitoring CI Low (2014),Diabetes Monitoring CI Low (2015),Diabetes Monitoring CI Low (2016),Diabetes Monitoring CI Low (2017),Diabetes Monitoring CI Low (2018),Food Environment Index (2014),Food Environment Index (2015),Food Environment Index (2016),Food Environment Index (2017),Food Environment Index (2018),Median Age (2013),Median Age (2014),Median Age (2015),Median Age (2016),Median Age (2017),Median Age (2018),Median Age Moe (2013),Median Age Moe (2014),Median Age Moe (2015),Median Age Moe (2016),Median Age Moe (2017),Median Age Moe (2018)
"04000US31","Nebraska",0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8700000047683716,0.868007242679596,0.8600000143051147,0.8700000047683716,0.8799999952316284,0.8799999952316284,0.8802824020385742,0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8600000143051147,0.8557320833206177,8.088000297546387,7.800000190734863,7.699999809265137,7.599999904632568,8.100000381469727,36.3,36.2,36.1,36.3,36.5,36.7,0.2,0.2,0.2,0.2,0.2,0.2
"04000US30","Montana",0.8199999928474426,0.8199999928474426,0.8100000023841858,0.8100000023841858,0.8101287484169006,0.8299999833106995,0.8299999833106995,0.8299999833106995,0.8299999833106995,0.8265289068222046,0.800000011920929,0.800000011920929,0.800000011920929,0.7900000214576721,0.7937286496162415,7.4070000648498535,7.199999809265137,7.199999809265137,7.199999809265137,7,39.6,39.6,39.9,40.1,40,40.1,0.4,0.3,0.4,0.3,0.4,0.3
"04000US28","Mississippi",0.8199999928474426,0.8199999928474426,0.8399999737739563,0.8399999737739563,0.8406084179878235,0.8299999833106995,0.8299999833106995,0.8399999737739563,0.8500000238418579,0.8485234975814819,0.8100000023841858,0.8100000023841858,0.8299999833106995,0.8299999833106995,0.8326932787895203,6.033999919891357,5.599999904632568,5.5,5.5,3.5999999046325684,36.6,36.7,37,37.2,37.5,37.7,0.2,0.2,0.2,0.2,0.2,0.2
"04000US27","Minnesota",0.8799999952316284,0.8799999952316284,0.8899999856948853,0.8799999952316284,0.8805441856384277,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8899999856948853,0.8925551772117615,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.868533194065094,8.538999557495117,8.300000190734863,8.199999809265137,8.199999809265137,8.899999618530273,37.7,37.8,37.9,37.9,37.9,38.2,0.3,0.1,0.1,0.2,0.2,0.2
"04000US09","Connecticut",0.8500000238418579,0.8500000238418579,0.8600000143051147,0.8700000047683716,0.8660549521446228,0.8600000143051147,0.8600000143051147,0.8700000047683716,0.8799999952316284,0.8759309649467468,0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8600000143051147,0.8561789393424988,8.236000061035156,7.900000095367432,7.900000095367432,8,8.5,40.5,40.5,40.6,40.9,40.9,41.1,0.2,0.2,0.2,0.2,0.2,0.2
"04000US26","Michigan",0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8560635447502136,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8612185120582581,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8509085774421692,7.51800012588501,7.199999809265137,7.099999904632568,7.199999809265137,7,39.6,39.6,39.7,39.7,39.8,39.8,0.1,0.1,0.1,0.2,0.1,0.1
"04000US25","Massachusetts",0.8899999856948853,0.8999999761581421,0.8999999761581421,0.9100000262260437,0.9053956866264343,0.8999999761581421,0.8999999761581421,0.9100000262260437,0.9100000262260437,0.9123325943946838,0.8899999856948853,0.8899999856948853,0.8899999856948853,0.8999999761581421,0.8984587788581848,8.644000053405762,8.399999618530273,8.300000190734863,8.300000190734863,9.199999809265137,39.4,39.4,39.4,39.5,39.5,39.5,0.2,0.2,0.1,0.1,0.1,0.2
"04000US24","Maryland",0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8496987223625183,0.8500000238418579,0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8560020923614502,0.8299999833106995,0.8399999737739563,0.8399999737739563,0.8399999737739563,0.8433954119682312,8.53600025177002,8.199999809265137,8.100000381469727,8.199999809265137,9.100000381469727,38.2,38.3,38.3,38.5,38.7,38.8,0.1,0.1,0.2,0.2,0.2,0.1
"04000US23","Maine",0.8899999856948853,0.8799999952316284,0.8899999856948853,0.8899999856948853,0.8862887620925903,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.9001951217651367,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.872382402420044,7.892000198364258,7.5,7.400000095367432,7.400000095367432,7.900000095367432,44,44.1,44.6,44.5,44.6,45.1,0.2,0.2,0.2,0.2,0.2,0.2
"04000US10","Delaware",0.8399999737739563,0.8500000238418579,0.8600000143051147,0.8700000047683716,0.8657412528991699,0.8600000143051147,0.8700000047683716,0.8700000047683716,0.8799999952316284,0.8792496919631958,0.8299999833106995,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.852232813835144,8.229000091552734,8,7.900000095367432,7.900000095367432,8.5,39.1,39.6,39.7,40.6,40.1,41.1,0.3,0.3,0.4,0.4,0.3,0.5
"04000US11","District of Columbia",,,,,0.7972520589828491,,,,,0.820479154586792,,,,,0.774025022983551,,,,,8.399999618530273,33.8,33.8,33.8,33.9,34,33.9,0.2,0.2,0.2,0.2,0.2,0.2
"04000US22","Louisiana",0.8100000023841858,0.8199999928474426,0.8199999928474426,0.8299999833106995,0.826621413230896,0.8199999928474426,0.8199999928474426,0.8299999833106995,0.8299999833106995,0.8340943455696106,0.800000011920929,0.8100000023841858,0.8100000023841858,0.8199999928474426,0.8191484808921814,7.122000217437744,6.800000190734863,6.699999809265137,6.5,5.400000095367432,36,36.1,36.4,36.5,36.8,37.3,0.2,0.1,0.1,0.2,0.1,0.2
"04000US21","Kentucky",0.8399999737739563,0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8586636781692505,0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8700000047683716,0.865908682346344,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8514186143875122,7.448999881744385,7.199999809265137,7.099999904632568,7.099999904632568,7,38.5,38.5,38.8,38.7,38.9,39.1,0.1,0.2,0.3,0.2,0.2,0.2
"04000US20","Kansas",0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8634106516838074,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8728973865509033,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8539239168167114,7.486999988555908,7.199999809265137,7.199999809265137,7.199999809265137,7,36,36.2,36.2,36.5,36.7,37.1,0.2,0.1,0.2,0.2,0.2,0.2
"04000US19","Iowa",0.8899999856948853,0.8899999856948853,0.8999999761581421,0.8999999761581421,0.9017314910888672,0.8999999761581421,0.8999999761581421,0.9100000262260437,0.9100000262260437,0.910814642906189,0.8899999856948853,0.8799999952316284,0.8899999856948853,0.8899999856948853,0.8926483392715454,8.069000244140625,7.800000190734863,7.800000190734863,7.800000190734863,8.199999809265137,38,38.2,38.1,38,38.3,38.1,0.2,0.1,0.2,0.2,0.2,0.2
"04000US12","Florida",0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8600000143051147,0.8563731908798218,0.8500000238418579,0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8602787852287292,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8524675369262695,7.191999912261963,7,7.099999904632568,7.099999904632568,6.699999809265137,41.5,41.6,41.8,42.1,42,42.2,0.1,0.1,0.1,0.1,0.2,0.2
"04000US18","Indiana",0.8399999737739563,0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8474732041358948,0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8535867929458618,0.8299999833106995,0.8299999833106995,0.8299999833106995,0.8399999737739563,0.8413596153259277,7.51800012588501,7.199999809265137,7.199999809265137,7.199999809265137,7,37.3,37.4,37.5,37.6,37.7,37.8,0.1,0.2,0.1,0.1,0.2,0.2
"04000US17","Illinois",0.8399999737739563,0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8589918613433838,0.8500000238418579,0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8636875152587891,0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8542961478233337,7.980999946594238,7.800000190734863,7.800000190734863,8,8.699999809265137,37.2,37.5,37.7,37.9,38,38.3,0.1,0.2,0.2,0.1,0.1,0.1
"04000US16","Idaho",0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8208005428314209,0.8399999737739563,0.8299999833106995,0.8399999737739563,0.8399999737739563,0.8354889750480652,0.8100000023841858,0.800000011920929,0.8100000023841858,0.8100000023841858,0.8061121106147766,7.311999797821045,7.199999809265137,7.099999904632568,7.199999809265137,7.099999904632568,35.7,35.9,35.8,36.1,36.3,36.8,0.2,0.2,0.2,0.1,0.2,0.2
"04000US15","Hawaii",0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8399999737739563,0.844035804271698,0.8600000143051147,0.8700000047683716,0.8700000047683716,0.8600000143051147,0.8617039918899536,0.8299999833106995,0.8299999833106995,0.8299999833106995,0.8299999833106995,0.8263676762580872,7.949999809265137,7.699999809265137,7.699999809265137,7.599999904632568,7.5,38.1,38.1,37.7,38.9,39.2,39.3,0.2,0.2,0.2,0.3,0.2,0.3
"04000US13","Georgia",0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8528534770011902,0.8500000238418579,0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8584489226341248,0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8472580313682556,6.828000068664551,6.5,6.5,6.599999904632568,5.800000190734863,35.9,36.1,36.4,36.5,36.8,36.8,0.2,0.1,0.2,0.2,0.1,0.3
"04000US72","Puerto Rico",,,,,,,,,,,,,,,,,,,,,38.6,39.3,40,40.7,41.4,42.9,0.2,0.2,0.2,0.2,0.3,0.2
